title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NICS ATHENA] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BIGBEN] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[NCSA DTF] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)"
2010-04-14,99.829217122,79.269526288,64.855829694,82.776122613,83.424549188,46.704272159,34.716171376,34.091338303,73.082091743,0,0.014286753,0,3.068779762,45.118136800,11.116175000,8.901910807,5.817755941,2.720994466,0
2010-04-15,84.598758681,84.132627191,70.753351289,64.235836111,73.111717249,42.355283651,37.287691638,33.575903555,72.834150933,0,0.009295400,0,10.934315476,65.393134359,9.939527679,11.005498047,4.663819580,2.198502875,0
2010-04-16,44.150933702,78.691946099,84.478559297,77.957811285,84.270419068,44.837489864,37.801243365,30.083045563,63.714311252,0,0.019558411,0,14.935141369,58.796354574,11.698170357,10.166520182,6.479705404,2.663653971,0
2010-04-17,0,71.349925534,78.867521015,85.220664280,90.721844133,47.700465241,39.435103382,33.819624918,83.955277235,0,0.027443186,0,0.008430060,33.447130534,13.863373333,6.370517578,6.933404134,2.892177463,0
2010-04-18,18.040551758,79.702868930,64.020838988,84.132242405,90.704968833,43.956573104,32.265991581,35.815859812,74.719835069,0,0.044786224,0,0.008311012,29.184995117,14.098125923,6.788916016,6.009383545,4.840112169,0
2010-04-19,99.702401259,83.676912210,61.195363177,86.701884722,90.345517139,47.604163392,25.482799729,33.266960328,87.655249295,0,0.161801961,0,3.488139881,17.357557576,13.799548036,8.911308594,5.594353434,4.840797662,0
2010-04-20,79.158673503,87.320020735,36.066748239,89.776687847,87.621982122,63.349913064,36.943914312,34.896972401,88.625898166,0,1.267496745,0,3.573132440,10.922526245,14.285271875,30.076243490,6.422824707,5.222103136,0
2010-04-21,72.079131402,84.916682830,50.385184768,91.053730512,99.336363309,65.418464945,38.364975599,35.974028205,87.098506402,0,23.206362101,0,3.659062500,25.128901774,12.703662530,42.290940755,5.201238607,3.615119765,0
2010-04-22,104.561413303,79.080939478,64.068310030,85.568604340,97.141270132,60.797682759,35.765212614,31.039474267,85.284697808,0,12.266212769,0,5.711272321,25.408433634,11.261543304,36.682871094,5.711635335,2.746523438,0
2010-04-23,96.990989041,75.176274096,77.180391448,89.617823872,89.967749312,56.600586795,39.553748716,31.682561998,69.589681261,0,12.824245860,0,3.691547619,25.357358602,10.404087321,8.629342448,6.643751628,2.889661730,0.020327148
2010-04-24,86.384879557,76.470473203,78.128410104,84.334077127,81.486847850,49.658018962,41.553113299,34.061267031,77.287428657,0,18.420084686,0,0.020706845,20.205019328,10.534709524,3.727574870,6.684978841,2.987582058,0
2010-04-25,88.989143338,75.576661453,69.744501935,87.408880339,92.092615456,45.280581103,32.837190497,32.288837194,80.014449870,0,13.429795990,0,0.020171131,23.410734863,10.896782262,3.906396484,6.265007731,3.056874186,0
2010-04-26,87.570179579,81.802350638,82.589016931,82.036025217,88.559212701,49.611137101,35.725237800,33.139857281,89.270550130,0,5.344907379,0,0.018638393,40.801902873,10.286372857,12.061634115,5.984736735,2.904836561,0
2010-04-27,93.874874674,76.239913929,50.463894373,88.686872352,94.894352214,57.228818223,26.858182220,31.112007046,82.151367459,0,15.166567179,0,11.975781250,38.840585124,12.527857321,16.212669271,6.625026855,3.005857747,0.122685547
2010-04-28,102.873903537,72.890792365,63.731116470,79.362989019,91.512691757,44.397269523,31.695051941,24.670340379,86.115137804,0,29.700801239,0,19.416882440,39.036824748,9.449201190,7.114586589,6.194200439,2.788102620,7.232421061
2010-04-29,110.597383898,78.887984682,69.879875944,86.529705078,94.101296773,36.907268666,43.099191495,32.261741788,82.645206163,0,37.375994568,0,5.568162202,28.381433512,9.310013929,16.824365234,8.017259521,2.910949029,15.608145345
2010-04-30,111.766722005,83.651652170,75.988406605,81.038785677,97.121534681,43.856677270,37.856895049,32.491263356,16.494454210,0,16.365143941,0,24.130200893,27.775987549,6.474468006,6.328414714,6.831781820,2.313532172,14.034287923
2010-05-01,109.175583225,83.400116552,85.987828883,91.342307986,88.357876704,31.122849769,39.216630636,24.452564798,12.382329102,0,32.111219635,0,0.008266369,25.181866659,5.013209315,4.042825521,4.542817383,2.639571398,12.500000000
2010-05-02,100.934558377,76.865361361,70.071103409,91.417274436,91.571597153,15.057062983,43.103180651,27.836541853,74.965929091,0,44.516149445,0,0.008556548,25.190194702,4.864899702,3.923180339,3.405758057,2.469934489,12.500000000
2010-05-03,97.749740126,47.219363699,61.027550304,81.190826563,90.782963025,31.695097461,45.716083547,29.641497469,64.249903971,0,41.932219442,0,15.639092262,25.811555176,4.550089077,7.873987630,4.286453044,1.882242839,12.500000000
2010-05-04,104.892771267,26.147464173,71.790352518,79.808094141,62.480318087,51.922280361,44.322978596,23.692855368,23.738552517,0,49.607069194,0,6.155252976,26.948337199,4.129844077,0,5.663968506,0.401505805,12.500000000
2010-05-05,104.076201714,77.383549077,69.271054019,70.719916319,92.638261165,48.227496491,47.304012272,21.937067761,22.138345812,0,38.156566518,0,15.161361607,45.587221680,6.327823661,0,7.402864176,1.551020508,7.547743327
