Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%)
2012-05-05,122.699440816,86.033876813,65.107941329,88.164878438,80.074471366,51.386480496,25.309686777,29.463994955,8.118019613,35.823549398,3.369947917,0,0,0,0
2012-05-06,78.659493496,96.714943255,114.123476857,79.244066060,83.056912316,54.336520973,32.303743490,32.312188108,2.086959635,38.801093343,2.039776190,0,1.248987630,0,0
2012-05-07,40.745766794,91.892820620,145.259149112,81.990469666,54.438996139,65.659597623,31.114567419,68.563603542,5.164586995,33.156719971,10.968146190,0,3.224680990,0,0
2012-05-08,132.386114958,96.379971279,146.748522191,83.618349711,27.379238586,66.066948547,22.225530237,83.592768707,9.532018636,29.094523112,14.454904345,0,0,0,0
2012-05-09,129.050174243,93.083228790,163.325886539,43.271728617,82.510587539,76.950498670,14.396131366,86.921084326,9.079744059,18.718528035,7.150911964,0,0.766783854,0,0
2012-05-10,115.286071957,93.556678536,123.728375210,31.189070638,82.673593446,73.722947287,29.369484954,90.681622115,2.623552653,33.189534302,8.216625506,0,3.775605469,0,0
2012-05-11,132.933385463,94.188940721,94.375631363,91.431482442,87.159840078,69.585290104,36.999212240,88.961340290,2.532841797,35.589626872,14.713426310,0,3.860097656,0,0
2012-05-12,130.262243487,91.298942017,107.534624198,91.092049967,86.292992271,60.516762376,41.559292535,51.535697358,1.231571859,28.974238485,8.090827351,0,1.236253255,0,0
2012-05-13,127.354620444,94.836524700,113.648236394,83.569220479,80.392096996,49.213239257,38.441550926,46.475681078,0.607683919,27.547702433,6.231256161,0,0,0,0
2012-05-14,127.503134301,91.645612260,120.327617408,63.233222249,87.083886507,44.927606150,31.328310909,63.635272191,0.192409668,32.022578735,17.428665625,0,0.502460938,0,0
2012-05-15,128.790698888,78.911329166,130.729033608,89.324125875,85.761872228,0.072495392,31.072320602,85.244432129,1.334735107,56.565746053,0.058783214,0,2.336080729,0,0
2012-05-16,113.345861694,77.288473713,110.680390496,87.539301961,83.012966719,0,36.805211950,73.250544450,2.085575765,36.670672607,0,0,2.091725260,0,0
2012-05-17,135.561613401,58.882423606,124.457218608,85.711344299,90.039993132,0.225285379,47.406213831,87.812668580,7.243697510,33.859424438,0.007020506,0,3.386718750,0,0
2012-05-18,133.928356769,96.160695208,96.425954631,83.642198385,84.796553899,5.126176978,48.685637297,81.784685202,2.619493408,32.001433309,11.440546875,0,2.198059896,0,0
2012-05-19,130.439597227,97.989359204,112.590706150,68.330968831,83.610512980,5.683324118,40.122649016,78.407907491,0.452609863,32.557305298,35.774186935,0,0,0,0
2012-05-20,127.043154704,97.434659008,126.751855147,78.202664083,83.675850648,5.284244471,39.866380208,69.531727168,3.593153076,29.216652222,39.744324405,0,0,0,0
2012-05-21,127.334111598,90.158851454,120.351738962,80.995216675,46.668132589,10.379474209,17.638848380,55.597721842,22.949498698,30.290513916,15.683570506,0,0.610244141,0,0
2012-05-22,101.127116402,79.247762690,92.558947823,89.948662618,21.722121655,39.894785659,18.662999132,49.846209578,17.794813232,26.190434367,19.795514315,0,2.128906250,0,0
2012-05-23,75.605105338,75.536176470,110.004919181,90.657394002,80.390396441,61.760153800,33.574610098,33.768285485,9.356228434,31.998462524,26.036647649,0,2.353007813,0,0
2012-05-24,114.742271837,90.746683670,84.007679349,83.562947286,85.647132419,64.391134110,23.812634549,33.399336756,4.805998128,37.292114054,21.222930595,0,2.140914714,0,0
2012-05-25,80.133000349,92.565143783,105.887920970,68.943173726,84.648938319,55.547835013,14.091267361,34.103668361,8.569508464,41.652275798,25.027531012,0,1.069589844,0,0
2012-05-26,2.494201423,95.637475977,123.987821705,88.362164510,86.064927135,68.302889429,22.503195891,0.582339800,6.278347575,1.325204468,5.499846190,0,0.031250000,0,0
2012-05-27,0.109121875,95.207460107,120.935398689,92.179398193,86.897864028,55.783257454,25.615724826,0,10.058014730,15.233231405,18.385740208,0,3.160156250,0,0
2012-05-28,19.260329344,90.465694463,117.463752749,91.087199198,87.277342195,61.148825588,33.700214844,0,37.226662191,16.234280192,3.337498690,0,0.030091146,0,0
2012-05-29,100.183175740,44.964562152,68.343566366,76.472624919,90.148883583,66.922435027,45.894256366,0,46.587311605,13.633893229,4.907612798,0,0.022425130,0,0
2012-05-30,126.179383968,5.045466130,140.633205608,90.786440125,88.076836460,70.665225947,43.858577112,23.473954353,41.313675130,23.159401245,4.913003065,0,0.428964844,0,0
2012-05-31,98.032714212,67.221777735,123.971107543,90.181568807,80.252872893,61.394263834,42.990495515,62.217631665,17.475323079,15.304529215,3.712627232,0,0,0,0
2012-06-01,115.365018280,93.338682995,106.311963764,91.445343933,78.846962282,55.058633002,48.781682581,56.859132418,5.541621094,13.749891357,14.030167679,0,0,0,0
2012-06-02,133.470983176,89.658610805,106.759976524,91.015122884,84.093510630,61.644918288,50.280371094,57.334300096,12.036991374,19.846344808,16.803507411,0,0,0,0
2012-06-03,136.430729339,97.137581624,112.349840504,90.983276672,75.675428086,58.297369121,53.933069300,52.493046545,6.958722331,14.004634196,12.445577083,0,0,0,0
2012-06-04,132.234310757,96.710583210,101.739844440,90.475871175,84.462184040,60.137473813,47.539694010,56.612914692,12.570954183,53.406123047,4.197360625,0,0,0,0
2012-06-05,110.873567249,96.384267626,119.181933042,88.335991821,84.604017609,58.073704157,39.310682147,46.581710197,12.384267985,71.106996867,2.597311518,0,0,0,0
