Day,[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2014-12-17,105.320187688,101.035721883,134.243061946,89.564900829,94.775796145,47.910915527,67.945303346,8.858796387,4.459693229,0,0,0.000000000
2014-12-18,110.489298115,102.981363962,27.587144409,86.367976165,68.635741201,44.871550802,81.836717803,0.805266113,4.199283160,0,0,0.000000000
2014-12-19,110.233171319,103.861818914,105.901460563,82.665122658,58.527597952,50.505592651,103.426890783,0.000072428,3.742586227,0,0,0.000000000
2014-12-20,91.587273628,101.731548005,194.232715671,88.619179339,95.568216738,46.205543925,122.510907513,0.000000000,3.677318056,0,0,0.000000000
2014-12-21,79.744472978,98.940661541,180.991968592,88.376470717,96.508465613,39.476797587,39.878331439,0.000000000,3.350951678,0,0,0.000000000
2014-12-22,99.823652734,99.132467359,153.127909473,76.056042865,95.053188131,32.127305705,51.787843434,0.000036214,3.090428935,0,0,0.000000000
2014-12-23,95.601119057,104.754412295,99.760736396,79.847380348,74.690073489,23.742811279,24.799312184,0.447057699,3.350167130,0,0,0.000000000
2014-12-24,106.907369803,98.071523271,73.865139668,81.904451009,48.577195589,12.548963826,16.542613636,13.699544271,3.219216204,0,0,0.000000000
2014-12-25,101.110626160,92.620448686,87.376947082,74.633792046,64.167460247,43.531408183,16.249403725,24.432961019,2.113223380,0,0,0.000000000
2014-12-26,76.237597714,87.669318467,132.126847987,89.425914329,77.660984848,46.234682821,19.313885101,33.349536947,3.344917072,0,0,0.000000000
2014-12-27,96.020457750,88.277293959,157.281080549,75.141827221,95.455654593,44.185257467,12.130050505,27.860541178,3.167470370,0,0,0.000000000
2014-12-28,69.389824690,78.475772212,124.258380057,72.926737255,95.478153804,43.561749878,5.072513258,33.381148682,5.826739294,0,0,0.000000000
2014-12-29,56.299207727,72.066530333,144.053579614,81.071187391,84.971086845,34.498381246,25.517045770,30.313358968,5.386570833,0,0,0.000000000
2014-12-30,34.004775396,43.044197650,173.402237461,94.141695249,71.306971275,44.298317057,43.857182765,17.958387451,3.178632928,0,0,0.000000000
2014-12-31,16.009518068,21.688355912,159.796155617,77.970863082,12.301075107,37.081922607,29.087682449,17.960259196,5.172550174,0,0,0.000000000
2015-01-01,17.830673248,16.328557560,47.057883143,45.962135331,0,44.447319946,31.197600694,17.957555745,5.432446007,0,0,0.000000000
2015-01-02,26.067842273,48.387560193,1.162574168,57.011538289,0,43.566735942,30.140327020,17.961299235,7.452527025,0,0,0.000000000
2015-01-03,29.145475490,81.711426525,0.767405905,41.404798833,0,42.080390015,23.867108902,31.815122070,7.367785475,0,0,0
2015-01-04,32.935725366,75.682996578,0.605560687,2.799101802,0,43.347940979,0.093416982,24.138057048,6.594849479,0,0,0
2015-01-05,46.276795933,77.829026504,0.711396323,37.262462032,0,44.188680216,9.644886679,3.005922852,8.625999826,0,0,0
2015-01-06,64.991254972,87.730335064,4.862949507,85.244414555,0,43.665952250,89.586209280,0.000036214,8.007349537,0,0,0
2015-01-07,117.272694428,87.440973595,0.026460491,75.528144979,0,44.124565837,66.153707386,0,7.212956539,0,0,0
2015-01-08,52.959549989,82.729473002,8.150766611,88.962375280,0,48.758635356,68.107445707,5.149621989,6.610149769,0,0,0
2015-01-09,58.765197517,90.556889866,13.132110742,79.911938807,0,38.078988953,55.443164141,3.982783610,5.346408796,0,0,0
