title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-10-28,11776.649166667,90.484667323,92.267720816,83.076511744,80.777286684,25.003805240,24.901273264,0,0.000000000,0
2015-10-29,22113.003333333,67.677372204,92.399869005,95.439010085,80.505557468,32.968294508,34.385985648,0,0.000000000,0
2015-10-30,18881.353750000,60.906310715,88.740101083,94.759877029,85.477799338,33.919068813,39.503967245,0,0.000000000,0
2015-10-31,24223.194166667,61.182893864,93.331967312,75.188037819,74.859003075,18.108849116,32.508304282,0,0.000000000,0
2015-11-01,19664.916400000,70.576078776,93.752204644,60.155756772,63.606880771,20.303283333,35.975981444,0,0.000000000,0
2015-11-02,14083.264583333,86.998763453,81.672642429,74.779509972,67.956271178,35.983235164,41.266329051,0,0.000000000,0
2015-11-03,17802.951250000,108.379289589,20.944205725,96.517218014,79.009177214,38.903023043,50.586191262,0,0.000000000,0
2015-11-04,20327.395416667,105.973571850,92.936124173,76.237500460,80.642518709,64.027602273,55.187779688,0,0.000000000,0
2015-11-05,21007.672916667,98.397102986,93.783310660,65.332909217,88.581071625,50.034616793,49.388188079,0,0.000000000,0
2015-11-06,25452.846666667,105.005968755,92.283939856,62.562188467,86.133376672,49.524639205,32.998431134,0,0.000000000,0
2015-11-07,27000.000000000,101.728835067,92.324152818,46.645282346,84.419948226,30.723379735,27.203128183,0,0.000000000,0
2015-11-08,26319.462500000,87.607424689,94.200359285,35.831427408,85.186680448,32.248720328,24.158114815,0,0.000000000,0
2015-11-09,15910.815000000,92.804048221,98.441635552,46.377902771,88.113049088,42.829702336,32.913580266,0,0.000000000,0
2015-11-10,10330.279166667,106.873349181,97.025482494,57.191045340,89.188068581,24.826896780,22.522340972,0,0.000000000,0
2015-11-11,15410.432916667,88.887033593,96.548896096,71.062825321,90.057024637,43.558642045,21.324906771,0,0.000000000,0
2015-11-12,24659.983750000,92.330389107,96.641878861,72.310194817,88.515226050,40.007259785,27.801932234,0,0.000000000,0
2015-11-13,18663.507083333,99.636241487,94.306879580,86.004811154,91.280711368,37.982463699,42.645138831,0,0.000000000,0
2015-11-14,14188.194166667,97.283297161,95.318755457,56.678858871,90.308093074,24.445952652,49.013683160,0,0.000000000,0
2015-11-15,13366.371250000,75.787643942,94.590940624,96.671613484,84.219195213,26.990529987,32.221174016,0,0.000000000,0
2015-11-16,14121.580000000,86.376423143,95.497582483,75.626554247,83.684590675,36.428205808,46.167017188,0,0.000000000,0
2015-11-17,10249.686250000,106.807984808,95.630396575,65.477338175,91.079883154,50.987865530,55.442013542,0,0.000000000,0
2015-11-18,5747.743750000,104.406413396,97.701671789,73.730516309,91.211563675,61.474309343,41.782034317,0,0.000000000,0
2015-11-19,9602.188333333,106.880800460,96.736735008,86.505182076,91.505786068,35.286159722,34.055430266,0,0.000000000,0
2015-11-20,12011.648750000,104.729521939,95.330253775,99.212749766,90.087308654,27.091960859,26.342467130,0,0.000000000,0
2015-11-21,10906.093750000,104.026689709,94.709637790,71.850611975,87.137867671,34.913931503,36.769505556,0,0.000000000,0
2015-11-22,6843.003333333,101.219395320,94.398601074,75.223664166,59.888899592,10.624509470,38.231545833,0,0.000000000,0
2015-11-23,5434.062083333,77.854362165,91.638135964,79.636267457,70.458694137,15.249333965,53.314158912,0,0.000000000,0
2015-11-24,5606.024166667,75.967450019,97.491698595,70.990741420,73.518568364,11.934238321,38.022694792,0,0.000000000,0
2015-11-25,5114.635833333,95.228617504,97.961658515,88.289262728,70.393432499,9.216487374,31.962130324,0,0.000000000,0
2015-11-26,7505.000000000,87.581308195,93.515997938,82.589882057,69.095774601,14.872632576,33.360014815,0,0.000000000,0
2015-11-27,1283.090000000,82.887670201,87.933154252,71.086456675,67.484021056,7.323091540,34.951765162,0,0.000000000,0
2015-11-28,59.791666667,75.965697149,85.825539587,85.382395578,54.446533507,9.486233902,35.565438484,0,0.000000000,0
2015-11-29,28.854166667,52.544262236,93.719818165,92.459780292,58.261551424,10.024095328,29.376093171,0,0.000000000,0
2015-11-30,2074.305833333,59.145360991,94.777563219,88.647336005,70.844868507,30.629997790,32.216435127,0,0.000000000,0
2015-12-01,1277.344166667,81.204171822,97.111443246,63.362350228,79.353471557,49.688341856,45.714940278,0,0.000000000,0
2015-12-02,4422.136250000,82.303028275,98.656578573,68.564779305,68.759636236,51.138608586,38.133105150,0,0.000000000,0
2015-12-03,10655.607916667,91.773793988,82.928718528,51.557102029,39.663747714,73.390783144,29.713545081,0,0.000000000,0
2015-12-04,4109.479166667,81.473259066,98.209743978,59.559908003,8.975741117,64.247773359,37.241724653,0,0.000000000,0
2015-12-05,725.104583333,73.969368299,97.873674800,60.880450246,3.811630496,25.829808712,56.900372917,0,0.000000000,0
2015-12-06,143.159583333,52.657310271,88.300230876,77.207058367,74.406941256,14.040000316,44.381777315,0,0.000000000,0
