Day,[NICS DARTER] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%)
2014-04-14,0,106.783629575,98.782994158,52.086078979,69.259180181,31.194433134,70.467298584,87.336469926,0,0,1.371831887,0
2014-04-15,0.000000000,84.941249403,103.776886385,0.399088750,79.240565814,7.224723353,63.991278890,77.308502582,0,0,1.162068287,0
2014-04-16,0,80.024668508,102.583085401,66.766282457,68.645180122,54.216492366,51.934483948,72.032613604,0,0,1.310496528,0.144992269
2014-04-17,0.000000000,89.206961323,103.071796170,88.059174240,51.152563033,68.894213040,50.967479655,53.369457406,0,0,1.097198206,0
2014-04-18,0.000000000,83.963971733,103.139912604,89.748367197,53.142348090,48.576496108,60.143939209,85.481798886,0,0,1.041647280,0.024450277
2014-04-19,0,87.864643500,103.610212424,98.290965775,79.045673828,39.446441616,67.269164836,88.703326753,0,0,1.098871528,0
2014-04-20,0,76.573837655,102.166754594,81.644438273,29.176434560,23.543841541,65.621550395,93.728896997,0,0,0.848755787,0
2014-04-21,0.000000000,92.411460458,102.773643697,92.463089921,63.051469480,22.111997190,61.725811768,83.074403138,0,0,1.207402488,0.997639567
2014-04-22,0.000000000,118.439958055,102.947313222,93.814438893,85.621733744,8.414807152,64.502369080,76.048892982,0,0,3.060551505,0
2014-04-23,0.000000000,116.489391236,101.988890668,94.556934620,83.911489011,48.036870200,66.761239624,64.153501279,0,0,2.974929977,1.002929281
2014-04-24,0.000000000,121.257218180,101.862969723,96.413607580,84.545213364,43.578263208,68.949602661,80.684351937,0,0,2.475390625,0
2014-04-25,0.000000000,95.723214171,101.079767086,91.714994688,80.988250671,42.130772983,68.087465210,81.520211592,0,0,4.775436632,0
2014-04-26,0.000000000,74.171037372,101.404531819,93.821764133,52.981924124,27.952480257,74.714264832,82.214240935,0,0,4.949088542,0
2014-04-27,0.000000000,58.322801845,98.412698946,90.728480500,47.743143249,16.897700480,73.955163879,76.853801781,0,0,4.439493924,0
2014-04-28,0.000000000,82.374346203,97.087976122,93.239286354,71.401848169,63.609288930,80.728669739,65.276974313,0,0,5.969903067,0
2014-04-29,0.000000000,128.491715868,105.473994377,64.637723267,79.836936948,55.318888300,76.797910258,81.396995033,0,0,3.099583333,0
2014-04-30,0.000000000,130.963933957,103.431012287,65.211769988,80.501889599,36.425534489,75.918307902,24.686656672,0,0,1.945759259,0
2014-05-01,0.000000000,110.419318886,106.341173354,77.346887876,82.914080157,49.031008434,85.197834981,0,0,0,2.403581597,0
2014-05-02,0.000000000,129.794740800,99.562355991,91.859783289,84.923988123,43.793341674,83.104008280,0,0,0,2.265683160,0
2014-05-03,0,91.344677935,74.159507848,89.488753640,86.225755702,17.260124571,75.459278158,0,0,0,2.245664641,0
2014-05-04,0,73.373700615,39.899351025,86.705866030,35.078795869,21.786792130,78.551734924,0,0,0,2.335201968,0
2014-05-05,0.000000000,105.241887412,89.476746968,90.259745388,63.444054313,27.091002246,84.176866353,0,0,0,3.475221933,0
2014-05-06,0.000000000,122.912765641,81.593084771,87.266567808,70.692936297,28.929534625,77.584635315,0,0,0,2.399937789,0
2014-05-07,0.000000000,115.627761530,106.578449508,89.475308811,87.392532256,28.726356935,78.497789205,0,0,0,1.705883391,0
2014-05-08,0.000000000,115.141359690,107.670560418,95.849223402,78.775392894,34.167313294,75.839716797,0,0,0,2.026449074,0
2014-05-09,0.000000000,123.283059655,106.441675652,91.436240592,78.974264816,41.740034511,73.718054301,0,0,0,1.847043692,0
2014-05-10,0.000000000,124.441548113,106.545391759,92.627726345,92.106849649,51.015407250,75.045179850,0,0,0,2.083219907,0
2014-05-11,0.000000000,108.413782104,102.799888334,88.533525056,87.012560764,55.811014236,69.643925578,0,0,0,1.279477720,0
2014-05-12,0.000000000,112.127033558,103.187968131,81.131200123,64.659915167,43.021288511,69.021742147,0,0,0,0.266416377,0
2014-05-13,0.000000000,119.856232375,104.628062391,13.267159975,3.365451488,38.535301815,74.078654175,0,0,0,0,0
2014-05-14,0.000000000,112.984371728,99.725228603,94.744118734,40.490179628,37.061628910,52.429176229,0,0,0,1.230729167,0
2014-05-15,46.553116080,102.233392237,107.368072967,93.141935936,91.441222281,41.501555465,33.551947428,0,0,0,3.301504630,0
2014-05-16,64.036359202,91.139332964,107.331483983,90.025019653,88.470687638,72.983677475,39.790997620,0,0,0,2.505989583,0
2014-05-17,28.622784264,66.882425894,108.843549802,93.449633314,86.539781309,57.999412453,38.864371236,0,0,0,1.748348090,0
2014-05-18,103.747256741,38.140077183,102.376111354,93.210996591,79.108371015,35.608069560,39.408262126,0,0,0,1.711868345,0
