Day,[PSC GREENFIELD] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[PSC BRIDGES] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[PSC BRIDGES LARGE] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[Stanford XSTREAM] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2016-06-02,7041.093750000,75.402177817,76.412577347,77.335235978,0,82.401202968,35.093468750,0,9.699929167,0,0.000000000,0
2016-06-03,13448.176666667,85.580490362,84.614251198,74.767499016,0,103.495562246,57.383575758,0,9.385972859,0,0.000000000,0
2016-06-04,7435.642500000,85.241197093,75.936416364,78.751916454,0,102.700597727,33.772481692,0,7.762982350,0,0.000000000,0
2016-06-05,6345.937916667,56.278337445,76.846207316,86.126369096,0,91.378085674,31.611058081,0,11.984419907,0,0.000000000,0
2016-06-06,8924.861250000,81.945821016,85.361076303,82.685742429,0,93.070620016,77.873158775,0,11.801691204,0,0.000000000,0
2016-06-07,5227.882500000,78.829821560,78.282728303,87.446863323,0,84.697892807,97.490933712,0,5.308638600,0,0.000000000,0
2016-06-08,7031.354583333,87.453308799,81.219772176,87.590366733,0,105.931768076,115.736496528,0,1.584461806,0,0.000000000,0
2016-06-09,9882.031250000,94.681353352,79.368674420,85.787042463,0,102.900300262,94.289825126,0,7.577877546,0,0.000000000,0
2016-06-10,6573.437083333,103.802357351,77.017281576,86.223447000,0,103.781297559,69.667982008,0,13.820408912,0,0.000000000,0
2016-06-11,259.513750000,104.266969007,73.995698500,85.638972461,0,107.171462174,97.595469066,0,13.406966898,0,0.000000000,0
2016-06-12,647.708333333,99.279108695,83.075072880,74.884128629,0,101.966695502,98.754279040,101.633333333,17.313377604,0,0.000000000,0
2016-06-13,1100.555416667,95.497068041,82.348599022,83.039597552,0,98.896565865,128.039053977,160.000000000,11.988056250,0,0.000000000,0
2016-06-14,1647.656250000,105.065462545,93.103825051,81.119245967,0,104.261195459,125.734637942,160.000000000,20.722022859,0,0.000000000,0
2016-06-15,2809.531250000,93.704764434,94.847692943,80.373315471,0,96.320474661,103.502929293,160.000000000,29.290634664,0,0.000000000,0
2016-06-16,3125.730000000,92.467518683,85.251097701,78.767058203,0,101.132951980,97.324039141,160.000000000,24.668920544,0,0.000000000,0
2016-06-17,2342.500000000,87.703577089,92.016121948,79.612189103,0,103.193710814,129.124017992,160.000000000,21.949398727,0,0.000000000,0
2016-06-18,2248.541666667,89.806905614,89.703013862,78.951690258,0,108.070746088,118.130523674,160.000000000,11.295492419,0,0.000000000,0
2016-06-19,59.183750000,50.436824750,92.047120303,44.079264712,0,97.091948185,112.786984848,160.000000000,19.823688310,0,0.000000000,0
2016-06-20,1220.104166667,34.514910614,87.580771398,29.605038165,0.247950010,91.643188162,122.228430240,160.000000000,43.829938310,0,0.000000000,0
2016-06-21,3922.152916667,92.371311677,89.454335675,80.744415515,3.103677633,95.941253241,127.961139520,160.000000000,30.321142014,0,0.000000000,0
2016-06-22,5236.510000000,100.631225308,88.930049059,78.346507903,19.853812967,92.680039278,109.567584912,149.575927083,37.158751273,0,0.000000000,0
2016-06-23,5021.822916667,104.860869423,94.297524387,79.361202817,29.365494356,85.627186745,63.009995265,0,44.403263310,0,0.000000000,0
2016-06-24,1849.635000000,93.527020231,90.245017167,74.649618775,24.059674083,92.025557142,133.710805871,15.855190104,22.229594329,0,0.000000000,0
2016-06-25,5008.732500000,96.446990093,88.974254494,60.709708933,13.817519907,108.787226754,99.693339962,45.783218750,36.036448727,0,0.000000000,0
2016-06-26,5286.944583333,71.097871319,85.077069259,61.059072128,8.227823542,83.422279173,114.706316604,47.074614583,37.895630787,0,0.000000000,0
2016-06-27,4420.590416667,82.157786608,83.014646154,71.309446130,39.071998757,84.912212127,80.443410038,41.980416667,41.353976968,0.000124679,0.000000000,0
2016-06-28,4914.080416667,96.822010881,92.843318377,81.218847271,53.600679102,88.830192527,113.901216540,36.617411458,35.327366319,0,0.000000000,0
2016-06-29,1323.698333333,103.680841108,86.717149287,81.863797784,18.470340204,30.038669117,122.948880997,23.607091146,8.261516146,0,0.000000000,0
2016-06-30,3552.101250000,102.545385128,90.006527330,76.776590181,23.829464009,11.009235819,116.996984217,53.200328125,6.706889931,0,0.000000000,0
2016-07-01,3242.916666667,98.342861372,82.504032615,79.015401082,110.378750237,0,120.505804924,68.721875000,5.603832234,0.003077885,0.000000000,0
2016-07-02,2213.437500000,92.809228617,85.078369765,80.935891884,116.044814206,0,93.523692235,91.660776042,10.793148785,0.014438141,0.000000000,0
2016-07-03,426.284583333,82.689109524,90.193966051,78.979925837,16.392709837,0,121.688131629,152.965497396,12.196588773,0,0.000000000,0
2016-07-04,49.410000000,74.252454926,91.755414474,80.374299580,71.007060497,0,114.925083965,80.049807292,15.124784549,0,0.000000000,0
2016-07-05,534.843750000,72.076258595,90.320833555,78.498546157,181.172422310,0,132.272113636,79.421585938,6.840502662,0,0.000000000,0
2016-07-06,1977.846666667,90.597602830,85.204197356,77.907536170,113.717896463,0,140.065096275,80.000000000,0.008934549,0,0.000000000,0
2016-07-07,2961.666666667,83.877692183,86.432518265,82.912542865,0,0,139.376226957,80.000000000,0,0,0.000000000,0
2016-07-08,3340.660000000,90.551621775,86.179682735,80.557868555,417.536668151,0,138.788212437,97.640531250,0,0,0.000000000,0
2016-07-09,4098.020833333,94.086738480,86.352755688,79.211618773,1166.613243217,0,136.777830177,87.403625000,0,0,0.000000000,0
2016-07-10,4696.302500000,74.903996565,90.590427667,78.681723742,912.877659515,0,117.864162247,91.140567708,0,0,0.000000000,0
2016-07-11,7045.121666667,87.169993071,90.777281901,79.046626015,689.890095994,0,137.352711174,102.101174479,0,0,0.000000000,0
2016-07-12,14413.506666667,92.922477770,83.771831751,79.105169576,658.465068528,0,128.220486111,257.388390625,0,0.000033974,0.000000000,0
2016-07-13,11688.229166667,81.336295364,89.596754399,80.767772513,794.698570736,0,138.415912879,246.401039063,0,0,0.000000000,0
2016-07-14,2071.180416667,75.268300212,89.387044198,81.551915606,596.196040004,0,129.049067235,104.255247396,0,0,0.000000000,0
2016-07-15,6343.489583333,75.099840624,93.320384607,81.125363846,962.369099287,0,143.568006629,82.810789063,0,0,0.000000000,0
2016-07-16,2158.055833333,79.479136976,94.466522321,78.525014583,705.965274269,0,133.716435290,106.070078125,0,0,0.000000000,0
2016-07-17,0,87.243818490,94.667890584,74.335901011,33.680574678,0,136.088664457,133.031437500,0,0,0.000000000,0
2016-07-18,3612.222083333,71.672364877,79.078032118,51.260350520,180.574124893,0,120.603904040,68.226398438,0,0,0.000000000,0
2016-07-19,6521.041666667,75.702120989,19.130490049,25.511029470,857.085835490,0,39.212261364,88.093013021,0,0,0.000000000,0
2016-07-20,17217.708333333,81.485066807,92.017195308,69.898745145,755.824994835,0,132.891343750,123.539518229,0,0,0.000000000,0
2016-07-21,7054.843750000,85.973825850,89.296893826,79.649710964,456.531457957,0,140.880401199,73.373270833,0.492762963,0,0.000000000,0
2016-07-22,2521.423333333,75.305757790,85.082828952,76.302956681,391.604265609,0,136.523148043,40.572924479,3.529896412,0,0.000000000,0
2016-07-23,3088.211666667,72.768195972,87.720760023,81.595502771,74.690965837,0,144.657127210,56.847026042,6.156487847,0,0.000000000,0
2016-07-24,3000.000000000,65.328587831,92.237200607,82.728299303,57.687261905,0,127.183764836,1.755468750,4.613364815,0,0.000000000,0
2016-07-25,3000.000000000,79.955951116,79.585745624,84.141598935,504.319548605,0,136.909090593,71.687187500,7.971450521,0,0.000000000,0
2016-07-26,3395.416666667,96.934190986,80.945067414,81.280266647,534.324802689,0,132.768904356,103.491846354,11.976388947,0,0.000000000,0
2016-07-27,3655.104166667,92.094380334,41.324904989,79.609002091,114.297761010,0,125.606323864,61.510531250,19.873296817,0,0.000000000,0
2016-07-28,5421.944583333,99.974547800,8.299122283,79.104011501,32.578317285,0,1.981621843,46.819911458,15.988126736,0.000000000,0.000000000,0
2016-07-29,2991.336666667,103.155761370,40.894569431,82.347505283,16.363821694,0,26.207579545,0,18.588483796,0.000339103,0.000000000,0
2016-07-30,3000.000000000,99.699946952,78.820536919,81.696037650,31.032644733,0,126.948303030,23.835067708,10.260744618,0,0.000000000,0
2016-07-31,4195.659583333,89.641818815,76.549791454,68.009604912,801.499941208,0,126.336034407,23.512111979,5.002350174,0.092289103,0.000000000,0
