Day,[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2015-06-02,88.354911244,17.193309281,55.228853647,52.777758235,12.780951705,0,49.701605835,41.708793056,0,0.000000000,0
2015-06-03,94.905890277,92.322948599,70.199741186,56.576898352,62.081946338,0,48.508531698,34.122469907,0,0.000000000,0
2015-06-04,91.977073876,94.066045758,65.181625833,58.494682960,61.146235480,0,44.836891683,53.187050000,0,0.000000000,0
2015-06-05,86.952385267,98.667849031,61.293068936,66.927772482,83.649095013,0,41.344455261,40.889155440,0,0.000000000,0
2015-06-06,79.769037445,92.815064539,61.368544417,51.693823797,42.992091225,0,13.541883850,42.068804630,0,0.000000000,0
2015-06-07,67.379851300,94.707073640,58.947175686,19.635093404,46.173733586,0,23.384751994,50.771797801,0,0.000000000,0
2015-06-08,90.601724323,97.517633812,61.942425801,12.673948622,60.278899621,0,38.297385864,47.441801736,0,0.000000000,0
2015-06-09,98.548950646,92.927460268,80.300346439,35.502740390,52.379664773,0,59.875623983,63.499051563,0,0.000000000,0
2015-06-10,109.004119305,92.151265340,75.267888157,70.195547818,77.040508838,0,60.944196065,82.015695718,0,0.000000000,0
2015-06-11,107.128145510,90.855393559,67.042837813,74.471356485,49.451319444,0,57.528497009,66.262284722,0,0.000000000,0
2015-06-12,103.947840783,93.028959048,70.253817896,91.966383050,52.575091225,0,57.841421712,88.069026505,0,0.000000000,0
2015-06-13,78.723683748,96.015498196,67.077198849,83.660373704,46.241968750,0,60.762279154,63.573922975,0,0.000000000,0
2015-06-14,28.312066151,92.250395616,55.897896719,71.394949451,44.913229798,0,56.415396016,36.378729572,0,0.000000000,0
2015-06-15,24.747857924,92.909712416,65.988133744,77.144365452,53.064727588,0,54.979514364,39.176498322,0,0.000000000,0
2015-06-16,99.719579031,96.753515815,71.008326247,88.637030263,54.177311237,0,50.746192932,34.367087269,0,0.000000000,0
2015-06-17,102.430898168,91.579470129,73.171685084,89.849869232,70.097414457,0,36.439692179,25.039737674,0,0.000000000,0
2015-06-18,103.240121480,98.629200855,84.039224844,76.721719933,54.566463068,0,52.631112467,22.240348380,0,0.000000000,0
2015-06-19,98.323891431,99.635584256,85.886261021,81.349479107,51.277041035,0,56.110943807,41.063567419,0,0.000000000,0
2015-06-20,99.696396255,89.129683237,69.849230609,85.633646805,51.123351641,0,31.319579976,23.486223611,0,0.000000000,0
2015-06-21,74.854223478,94.952500705,50.965250333,90.608809445,61.144149937,0,20.684656067,16.810291319,0,0.000000000,0
2015-06-22,97.825060674,99.219377930,63.315636914,81.839341701,36.117108586,0,40.742811686,28.912290972,0,0.000000000,0
2015-06-23,103.046055190,97.986175817,79.742095739,86.751084930,24.620493056,0,57.182485758,28.767820833,0,0.000000000,0
2015-06-24,103.949106474,95.093923973,72.778643183,31.866935796,25.520517677,0,55.910870463,33.265647454,0,0.000000000,0
2015-06-25,106.685081495,98.105086069,69.194425453,65.331500605,39.594504104,0,11.334734701,28.192730903,0,0.000000000,0
2015-06-26,106.142103384,100.644723366,68.299561272,85.485427278,43.191480429,0,21.522392985,39.155822512,0,0.000000000,0
2015-06-27,104.135163354,94.876982065,69.097042126,78.818636298,44.888748737,0,59.465481567,24.173270370,0,0.000000000,0
2015-06-28,98.862528364,96.681711964,56.172173618,68.336035036,41.248175505,0,51.707976278,20.058240104,0,0.000000000,0
2015-06-29,102.864298242,98.045572288,57.076970204,72.469663357,39.650796402,0,39.413831889,16.750016146,0,0.000000000,0
2015-06-30,105.968697342,99.128451742,60.345136439,52.485615876,31.248422033,0,41.061410421,24.234378241,0,0.000000000,0
2015-07-01,105.131383026,97.348940050,60.084565817,51.129111734,40.828387626,0,28.711023254,35.962464468,0,0.000000000,0
2015-07-02,105.216266718,94.647447487,47.710228555,80.519387413,36.200039457,0,29.096720378,26.007735417,0,0.000000000,0
2015-07-03,106.679117415,88.092391660,52.766932075,80.112223737,39.669964015,0,32.027162882,31.957507002,0,0.000000000,0
2015-07-04,90.358865603,95.204459676,39.630981941,63.683418880,14.850975379,0,25.540694580,5.171318981,0,0.000000000,0
2015-07-05,84.985473784,96.008590535,26.710608404,44.983137961,22.735023990,0,23.152714640,9.799061169,0,0.000000000,0
2015-07-06,95.242499121,99.177198604,38.591370890,66.467418902,54.908757576,0,33.566659342,27.392779051,0,0.000000000,0
2015-07-07,99.185816739,97.708044759,62.835776094,90.254743352,78.993844381,0,34.766990356,44.826642766,0,0.000000000,0
2015-07-08,98.922119000,99.203283031,65.846452103,89.708749337,46.466241477,0,37.244982096,50.432420255,0,0.000000000,0
2015-07-09,97.265904136,98.117124421,65.947595996,103.782397036,38.106236111,0,36.157882690,52.058944271,0,0.000000000,0
2015-07-10,98.387109219,95.022949413,56.523286360,94.304436535,46.516221275,0,46.994936422,30.237053125,0,0.000000000,0
