title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2011-05-15,87.939616509,183.958229194,81.455520619,92.883510742,80.747044416,104.909611706,78.776029731,47.731422628,53.230224406,26.537102904,45.773862508,70.059654022,7.558105469,0,0,7.296992323,3.717972819,2.868489583,1.341259018,0.014635417
2011-05-16,87.316674354,204.804452877,76.915490440,60.237233073,85.206567250,127.662029975,78.853208279,65.227986959,61.862083130,40.083811596,21.817599792,57.387246641,19.261013997,0,7.229275716,9.486852892,8.388792589,9.545716146,1.426203065,0.014471726
2011-05-17,84.562337909,167.821960518,79.382506285,72.518295356,87.889314474,128.357861127,77.820662164,76.179009705,66.681261190,45.937145007,4.277054392,46.657635953,29.961126709,0,22.397334798,9.637871501,3.607615289,18.159720052,2.168584583,14.855572917
2011-05-18,84.985332816,186.339190318,79.653119534,99.849277344,83.500798115,108.364417760,76.074369575,84.395847066,73.106286621,48.630196092,1.904251658,42.254109101,17.406494141,0,12.488824056,9.468266330,5.570772841,15.680989583,1.285734881,13.449360119
2011-05-19,88.950146854,152.230875053,74.981684485,55.050389540,86.104383687,92.545756575,78.258681098,71.296830037,47.698947347,43.580413704,19.466136831,31.703130541,33.701578776,0,4.502170410,9.782556559,4.258986545,6.014176432,1.303777054,0.012485119
2011-05-20,95.711213777,62.476536109,79.803336090,58.738485786,89.049154268,84.869685054,69.837872450,76.233922831,52.754137166,33.533183555,14.043475087,41.538381742,52.400146077,0,6.931586100,10.941897651,4.515649143,6.465849609,1.418697649,0.013720238
2011-05-21,89.923180454,94.190823209,72.976129683,76.512296549,90.121029083,54.383507863,68.407937826,60.339414063,61.200412394,37.410978590,27.682264506,64.498818297,39.631818441,0,2.697952474,1.415834554,4.737341037,0.291523438,1.315425060,0.015133929
2011-05-22,85.216747123,183.615817600,70.477751917,41.934817166,84.835014139,30.986282024,69.441424967,63.738014730,46.680600789,42.724232083,17.983479767,65.639255669,26.148410238,0,1.040870768,4.386937256,5.899305284,0,1.285744702,0.015461310
2011-05-23,88.814509872,84.190139799,73.745051504,19.751717665,85.790298110,5.550092604,68.982114258,43.262442118,41.117671509,46.703515079,25.380506795,59.329837918,13.776485189,0,0,8.036574571,6.230423448,6.891490885,1.285744792,0.014218750
2011-05-24,84.997271974,91.667083499,82.947363097,5.238497721,90.809870208,17.323134197,57.695234104,6.348162638,56.328124797,50.682158028,22.661982880,49.084703306,8.955014648,0,3.824002279,9.265833062,4.198425022,7.640045573,1.293702946,0.014345238
2011-05-25,86.009747410,66.754877479,61.520685339,7.915467122,89.143097973,95.529294579,54.906406793,15.631985168,59.702971395,31.150868341,26.862548879,50.435218890,10.971932373,0,15.985515137,8.624804009,5.794165310,5.927226563,1.288582560,0.013973214
2011-05-26,81.570869879,90.835486690,94.013086414,53.654791667,89.636494094,105.349968654,41.819299316,85.484935811,54.951822713,15.862498675,15.476508230,60.314999650,42.332419434,0,11.302951660,8.512297635,4.023822428,2.341582031,1.292493155,0.015416667
2011-05-27,80.617977269,132.895535583,81.174564677,97.140155707,80.011069786,107.580258166,51.391879069,82.128391012,50.310044963,34.446561876,10.670102743,64.013801500,31.199597982,0,5.626319987,3.131875000,4.328210449,0.430410156,1.289598036,0.015334821
2011-05-28,90.197943309,164.644579940,81.953830568,83.450574544,85.634197240,93.279078655,47.992024468,71.957831523,46.022130941,48.006410772,8.498905843,64.375676092,17.841751709,0,9.757071126,0.590770535,6.900862630,0,1.285745208,0.014300595
2011-05-29,86.056231138,156.974319165,90.341188527,67.600302192,85.616192161,70.810679093,78.996955566,61.818115133,5.364945068,28.544615690,1.364655660,62.825066314,19.471616618,0,0,0.745317654,6.938975423,1.399739583,1.286262738,0.013965774
2011-05-30,81.137712558,165.342105016,81.864853372,74.457206489,87.600614474,68.272119801,83.686945258,63.549493001,29.742151286,7.699047920,0,66.106477930,28.817138672,0,0,1.399729004,6.840371636,1.805989583,1.407304970,0.015706845
2011-05-31,85.678453130,152.721099865,78.656642695,83.448911675,87.342025659,61.025482138,84.980245768,64.668312581,58.591466675,8.305909119,22.937319082,56.618522770,54.547779541,0,1.622775879,1.470517442,4.484543186,1.241751302,1.322535625,0.015000000
2011-06-01,87.596868236,129.509539600,46.057245791,93.585737305,90.775755824,45.729110691,85.422374674,87.253585510,47.331619670,20.502661318,37.419297943,36.790691139,50.541982829,0,3.220269368,0.902096761,6.397983941,0.848811849,1.642229851,0.014255952
2011-06-02,79.289463699,173.229585154,88.129459108,92.978429362,88.280091973,58.628416132,83.806435818,70.387161967,52.972027791,25.182958770,51.428331197,42.732667448,44.711579183,0,0,0.840462918,7.165763075,0.324798177,2.183716994,0.012686012
2011-06-03,95.345524827,168.078717834,93.589778679,81.774792752,89.921803313,51.679273509,84.645314941,71.957745768,34.520159505,21.977848054,6.739583333,47.952393617,91.611310628,0,0,1.276127523,5.729259711,7.632526042,2.120345298,0.008883929
2011-06-04,82.912579833,172.200088599,74.953653263,84.593538411,87.312197411,54.023751252,85.689302843,64.383481649,21.168335164,27.356914530,28.811704305,44.490540897,90.104138997,0,0,1.017635498,8.176447483,0.120950521,2.246601012,0.006160714
2011-06-05,70.929460051,74.405355921,92.308651465,82.875669488,88.575534926,43.173342542,88.197682020,33.284460246,32.438811239,41.596588152,32.431893768,48.854177748,41.447527262,0,0,1.015810547,8.816372342,0,1.686196161,0.006197917
