title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-04-13,94.670639628,93.947327425,94.479251553,52.605105712,34.768019104,45.284621508,45.223983222,37.737294116,13.738371582,5.740248006,0,1.141408452,0
2013-04-14,70.945050533,62.496858705,84.615107536,74.333312460,28.505651449,56.701932311,72.836509987,36.864550789,26.109799398,3.794695841,0,1.540312202,0
2013-04-15,100.245650594,66.203872985,80.258813381,63.083215447,48.283607890,51.197640467,40.893991328,39.164828411,23.761918538,2.619656372,0,2.790945982,0
2013-04-16,102.496309501,105.081831244,86.226838425,55.062517058,52.345298869,36.192502170,25.609181424,39.959700915,34.063277588,1.263183594,0,1.787536756,0
2013-04-17,102.679063269,110.042012087,98.398836949,57.984223182,64.041352336,19.047045849,45.380839812,37.395625350,4.351282145,1.116170451,0,1.698170030,0
2013-04-18,104.171485236,105.757905275,98.462439734,75.602227473,47.830215454,32.114272017,60.157208654,34.782831397,14.585557048,0.919035848,0,0.540168512,0
2013-04-19,100.183328166,90.633751404,95.858831967,87.593757494,50.490458679,23.317348879,56.943237422,33.178733378,45.898627523,2.164320272,0,0.625027054,0
2013-04-20,110.897240536,66.415970157,96.562165271,93.730522636,47.789846598,6.028623935,62.294296708,34.872985314,67.498399251,5.205200195,0,1.021408810,0
2013-04-21,90.360178640,43.690410877,96.475203451,93.269427663,34.087031453,9.712344835,61.581190344,35.869263076,68.902786458,5.752974854,0,0.498035506,0
2013-04-22,97.626807990,65.907663594,93.666819196,71.164216617,46.699212443,31.914715909,54.873183481,37.636760918,20.887830811,6.840530802,0,1.486225446,0
2013-04-23,96.644779381,74.495977321,93.477647289,67.745130521,64.649016215,32.494024325,49.880659623,40.223559805,24.384901123,6.655115356,0,0.288712560,0
2013-04-24,106.528521481,94.617172707,96.515143170,38.362588645,67.871848450,79.626657296,47.523911535,40.396969310,7.215441081,4.134109904,0,1.591235952,0
2013-04-25,121.506421257,101.375365882,99.547238447,66.925900194,74.328703206,81.061096808,51.209683426,40.761046274,28.658763835,2.698513387,0,2.805676518,0
2013-04-26,122.009344515,106.023226531,94.955852802,64.551706961,64.934901937,79.988127861,54.965587443,40.147964726,67.382152913,2.589898275,0,1.107523423,0
2013-04-27,101.777343922,94.662779903,94.976716170,58.872520938,61.829273376,71.711432785,58.867081208,43.013127625,45.334227702,40.228719076,0,0.578863929,0
2013-04-28,68.311470849,36.335928677,94.838400681,40.322092382,63.202501017,66.296554707,47.360681338,42.868400348,3.701090495,73.339124552,0,0.938949821,0
2013-04-29,75.784779174,20.188661062,100.038566594,50.385614600,60.903322144,32.498171658,29.916838031,42.696680489,29.047779541,36.224907633,0,0.689279643,0
2013-04-30,93.898314927,28.211023817,97.256117190,59.190922567,56.141416219,61.352259706,10.520328948,39.475954356,0.405128988,38.769011230,0,1.830135833,0
2013-05-01,90.430561526,61.794125607,98.473176696,59.283829477,41.004331563,80.291925702,49.295718171,41.840715169,14.284333496,72.778338420,0,3.861338780,0
2013-05-02,80.996476682,91.584021958,77.646260434,74.625541799,22.227525431,45.922103062,62.946593890,42.525837999,27.914712321,34.633635457,0,0.537439911,0
2013-05-03,96.042811846,89.935350474,78.422451984,77.768519515,66.107170614,60.771311356,71.621444594,41.080676442,15.530426025,9.502757975,0,1.144991280,0
2013-05-04,123.541396949,74.701625314,80.668156644,47.379944974,72.866387634,66.144400055,60.272357860,40.725505377,5.666811523,9.149232992,0,1.609787679,0
2013-05-05,129.075365536,65.190397436,96.300745900,53.059593807,71.674533386,77.494914477,53.668632487,38.148644667,1.782379964,5.495266317,0,0.356786220,0
2013-05-06,131.051617959,95.030182577,87.733553359,35.563589253,78.441994019,70.077690775,38.263518148,38.464790675,16.181920980,3.453798625,0,1.469051637,0
