,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-11-01,6.08070702,6.34880757,0.76957639,0.0,,,6.52067407,3.24165474,6.07454141,,0.0,3.27813158,3.64523799
2015-11-02,4.94599489,6.46567507,0.54242936,0.0,,,3.89082903,3.25548477,5.42878331,,0.0,3.06236103,2.36448536
2015-11-03,6.43357483,3.91462072,0.83171458,0.0,,,5.12933947,3.64971136,7.14237942,,0.0,2.53218177,1.41196469
2015-11-04,6.44875983,3.81958924,0.56331184,0.0,,,5.04990222,5.38892852,5.19687827,,0.0,5.13423214,3.16071577
2015-11-05,2.76681814,4.50071088,0.95335641,0.0,,,5.63452703,5.53526293,6.00716033,,0.0,3.56508895,2.74142663
2015-11-06,4.33029071,4.98861499,0.94869064,0.0,,,7.60265588,6.46496041,7.35509444,,0.0,3.66063077,3.03646407
2015-11-07,4.18865176,4.39369802,0.6916329,0.0,,,24.0,8.21657048,8.60226591,,0.0,3.86437455,4.75266029
2015-11-08,5.52398488,4.75067318,1.01091262,0.0,,,0.72883254,6.43698837,7.14981698,,0.0,5.25558391,3.87085958
2015-11-09,3.84079034,5.28946939,1.2081478,0.0,,,0.15679688,2.95468556,6.09531116,,0.0,4.163155,3.34389077
2015-11-10,4.44991,3.70794819,1.36467928,0.0,,,0.11394544,2.80335226,6.31799693,,0.0,3.36315065,3.63023298
2015-11-11,6.59007913,4.16401683,0.93375974,0.0,,,0.30586649,4.95842783,5.19498976,,0.0,3.44424,3.51497632
2015-11-12,2.43538391,5.21573541,0.65410184,0.0,,,0.27231656,4.91094465,5.56664035,,0.0,3.568198,3.71543199
2015-11-13,4.82277733,4.05552815,0.76902896,0.0,,,0.29170097,7.19083926,5.04111125,,0.0,4.05228571,3.59107622
2015-11-14,11.8512725,2.05010288,0.62295003,0.0,,,4.38241379,8.48695118,7.15493536,,0.0,7.07132857,3.88347503
2015-11-15,9.42253816,2.54437746,0.70435919,0.0,,,10.51154545,7.88247787,6.24805531,,0.0,7.197284,3.42666062
2015-11-16,8.33571085,3.30723819,1.21047662,0.0,,,0.64233618,5.26711928,2.89244896,,0.0,6.46934211,3.07031811
2015-11-17,9.76732761,4.05369444,1.2755929,0.0,,,2.536745,3.23543197,7.32005589,,0.0,5.10322199,3.54614583
2015-11-18,4.76412548,3.80907312,0.7933634,0.0,,,1.62305641,2.54334781,5.62912807,,0.0,5.19281412,3.76822464
